pdf_filename,figure_filename,caption,plot_type,generated_annotation
013_2505.16869v1_MPO Multilingual Safety Alignment via Reward Gap Optimization.pdf,013_2505.16869v1_Figure4.png,: Impact of the preference data. (a) Multilingual safety performance on MultiJail with varied data quality. (b) Multilingual safety performance on MultiJail with varied data size.,Line Plot,"The plot illustrates the multilingual safety performance of various models over different iterations. The x-axis is labeled as numeric with a linear scale, ranging from 100 to 400, with tick labels at intervals of 100. The y-axis is labeled ""Multilingual Safety Performance,"" also using a linear scale, ranging from 5 to 45, with tick labels at intervals of 5. There are six lines in the plot, each representing a different model or method. The maroon line with circle markers is solid and represents MPO, staying steady with slight fluctuation around 5. The yellow line with square markers is solid, representing DPO, and shows a slight increase from around 10 to just over 15. The blue line with triangle markers is solid, labeled IPO, showing an initial decline from around 14 to 10, then back up to approximately 15. The green line with diamond markers is solid and represents KTO, dipping from around 25 to 10 between 100 and 200, then increasing to end near 20. The orange line with circle markers is solid, denoting ORPO, maintaining a relatively steady trend around 10. The light green line with star markers is solid, labeled SimPO, rising consistently across the x-axis from approximately 25 to over 40 by the end of the range. A horizontal dashed line labeled ""LLaMA-3.1-8B-Instruct"" is drawn at y=32."
013_2505.16869v1_MPO Multilingual Safety Alignment via Reward Gap Optimization.pdf,013_2505.16869v1_Figure5.png,Reward gap across languages for the original backbone and those safety aligned by MPO and DPO.,Bar Chart,"The bar chart illustrates the ""Reward Gap"" across different language categories with a focus on specific models or approaches. The horizontal axis represents the language categories, labeled as ""En,"" ""Zh,"" ""Ar,"" ""Ko,"" ""Bn,"" and ""Sw."" These are arranged in no specific order. The vertical axis is labeled ""Reward Gap,"" with a linear scale ranging from 0.00 to 1.75 and tick intervals of 0.25. The chart contains grouped bars for each language category, differentiated by color: gray for ""LLAMA-3.1,"" yellow for ""DPO,"" and maroon for ""MPO."" In the ""En"" category, the gray bar indicates an approximate value of 1.00, the yellow bar is around 1.75, and the maroon bar is around 1.50. For ""Zh,"" the values are approximately 0.50 (gray), 1.25 (yellow), and 1.00 (maroon). The ""Ar"" category shows values around 1.25 (gray), 1.50 (yellow), and 1.50 (maroon). In ""Ko,"" the bars are around 0.50 (gray), 1.25 (yellow), and 1.50 (maroon). The ""Bn"" category shows values of approximately 0.50 (gray), 0.75 (yellow), and 1.00 (maroon). For ""Sw,"" the values are approximately 0.00 (gray), 0.75 (yellow), and 1.00 (maroon). The bars are not sorted in a particular sequence, and no bars are visually emphasized with shading or annotations. A legend at the upper right identifies the color coding for each model."
016_2505.00147v1_AdaptMI Adaptive Skill-based In-context Math Instruction for Small   Language Models.pdf,016_2505.00147v1_Figure5.png,"Accuracy and average output length of  on questions of Level 1–5 defined in the  dataset. Compared to <Ref>, the performance gap between fixed and skill-based examples is unnoticeable across all levels.",Bar Chart,"The bar chart presents two separate side-by-side plots that illustrate ""Accuracy (%)"" and ""Average Output Length (Token)"" across different ""MATH levels."" In both plots, the horizontal axis represents the value, labeled as ""Accuracy (%)"" on the left and ""Average Output Length (Token)"" on the right, with linear scales ranging from 0 to 100 and 300 to 900, respectively. The vertical axis on both plots displays ""MATH Level,"" ranging from 1 to 5, with levels decreasing from top to bottom. Each MATH level contains two bars representing ""Fixed Examples"" and ""Skill-based Examples,"" colored in blue and red, respectively. The bars compare different attributes at each MATH level for two example types, with specific accuracy percentages or token lengths labeled on top of each bar. In the Accuracy (%) chart, MATH Level 1 shows the highest accuracy for both example types, with ""Fixed Examples"" at 92.5% and ""Skill-based Examples"" at 91.3%. MATH Level 5 displays the lowest accuracy values, with ""Fixed Examples"" at 42.1% and ""Skill-based Examples"" close at 42.5%. In terms of Average Output Length, MATH Level 5 has the longest values, with ""Fixed Examples"" and ""Skill-based Examples"" at 842 and 867 tokens, respectively, while Level 1 has the shortest, at 355 and 378 tokens. The order of MATH levels is consistent across both charts and no specific sorting method is applied to the bars, nor are any bars visually emphasized beyond the color differentiation."
018_2505.00022v2_Aleph-Alpha-GermanWeb Improving German-language LLM pre-training with   model-based data curation an.pdf,018_2505.00022v2_Figure1.png,"Average accuracies (MMMLU, ARC-Easy, HellaSwag; single- & five-shot) of 1B Llama-style models trained on $\sim$ 84 billion tokens from different datasets. All subsets of  – marked with an asterisk (*) – outperform FineWeb2. For comparison, we also include EPFML High. Here, 1,000 training steps equates to approximately 2.1 billion tokens. Individual benchmark results are provided in App.  <ref>.",Line Plot,"The plot illustrates the relationship between training steps and average accuracy across different categories or datasets. The x-axis is labeled ""Training steps,"" with a linear scale ranging from 5,000 to 40,000, with tick labels at intervals of 5,000. The y-axis is labeled ""Average Accuracy,"" also on a linear scale, ranging from 0.28 to 0.36, with tick labels at intervals of 0.02. There are five lines representing different data categories. The blue line with circular markers and a solid style begins at an accuracy of approximately 0.285 at 5,000 steps and ends near 0.315 at 40,000 steps, showing a generally upward trend with fluctuations. The green line, also with circular markers and a solid style, starts slightly above 0.29 and ends close to 0.32, maintaining a relatively steady increase. The brown line with circular markers and a solid style begins at about 0.275, rises steeply to around 0.295 by 15,000 steps, and then levels out to finish near 0.305. The gray line, with circular markers and a solid style, shows a prominent increase from around 0.29 at the start to over 0.355 at the end, with a notable rise around 10,000 steps. The cyan line, featuring circular markers and a solid style, starts at approximately 0.285, experiences notable fluctuations, and ends around 0.33. The plot highlights variations in accuracy trends across these datasets or categories."
018_2505.00022v2_Aleph-Alpha-GermanWeb Improving German-language LLM pre-training with   model-based data curation an.pdf,018_2505.00022v2_Figure2.png,"Accuracies of 8B HAT models trained on different datasets. On average, and for all but one individual benchmark comparison,  outperforms FineWeb2. (Left) The HAT model was trained for 25,000 training steps on an English-language web-derived dataset, equating to $\sim$ 75 billion English words. Afterwards the model was further trained for 20,000 steps ($\sim$ 60 billion words) with German language data, either random FineWeb2 data augmented with high quality datasets like Wikipedia (FineWeb2:HQ Curated) or our generated synthetic data (Synthetic). Both datasets amount to 60 billion German words each. (Middle) We trained for 21,000 steps ($\sim$ 63 billion words) on either random FineWeb2 data or on our synthetic German data. (Right) The FineWeb2 training run was continued to 50,0000 steps and is compared to a training of 50,000 steps on data from our Filtered CC pipeline. Both runs each equate to $\sim$ 150 billion words.",Bar Chart,"The bar chart illustrates the accuracy levels of different models on four datasets, divided into categories associated with Synthetic and FineWeb2:HQ Curated. The horizontal axis contains the categories labeled as MMLU, ARC, TruthfulQA, and HellaSwag, ordered in this sequence. The vertical axis, labeled ""Accuracy,"" employs a linear scale ranging from 0.0 to 0.5, with tick labels at intervals of 0.1. Each category features a pair of bars; the Synthetic bars are gray, while the FineWeb2:HQ Curated bars are brown. The approximate accuracy values for the gray bars are 0.4 for MMLU, 0.35 for ARC, 0.3 for TruthfulQA, and 0.5 for HellaSwag. The brown bars have approximate accuracy values of 0.25 for MMLU, 0.3 for ARC, 0.25 for TruthfulQA, and 0.45 for HellaSwag. The bars are not sorted in any specific numerical order, and there are no additional visual emphases or annotations on specific bars. Grouping is executed such that each dataset has a pair consisting of one gray and one brown bar for direct visual contrast within the same dataset."
018_2505.00022v2_Aleph-Alpha-GermanWeb Improving German-language LLM pre-training with   model-based data curation an.pdf,018_2505.00022v2_Figure3.png,"Accuracies of 8B HAT models trained on different datasets. On average, and for all but one individual benchmark comparison,  outperforms FineWeb2. (Left) The HAT model was trained for 25,000 training steps on an English-language web-derived dataset, equating to $\sim$ 75 billion English words. Afterwards the model was further trained for 20,000 steps ($\sim$ 60 billion words) with German language data, either random FineWeb2 data augmented with high quality datasets like Wikipedia (FineWeb2:HQ Curated) or our generated synthetic data (Synthetic). Both datasets amount to 60 billion German words each. (Middle) We trained for 21,000 steps ($\sim$ 63 billion words) on either random FineWeb2 data or on our synthetic German data. (Right) The FineWeb2 training run was continued to 50,0000 steps and is compared to a training of 50,000 steps on data from our Filtered CC pipeline. Both runs each equate to $\sim$ 150 billion words.",Bar Chart,"The bar chart illustrates the accuracy of two models, Synthetic and FineWeb2, across four different datasets: MMLU, ARC, TruthfulQA, and HellaSwag. The horizontal axis represents the dataset categories, labeled at an angle, with MMLU, ARC, TruthfulQA, and HellaSwag in that order. The vertical axis indicates the accuracy, labeled as such, with a linear scale ranging from 0.0 to 0.5, marked at intervals of 0.1. Each dataset category has two bars: one gray bar for Synthetic and one brown bar for FineWeb2. The approximate accuracy values are as follows: for MMLU, Synthetic is around 0.32, and FineWeb2 is approximately 0.27; for ARC, both Synthetic and FineWeb2 are approximately 0.31; for TruthfulQA, Synthetic is about 0.27, and FineWeb2 stands at roughly 0.25; for HellaSwag, Synthetic reaches around 0.44, and FineWeb2 is close to 0.48. The chart employs grouped bars within each category. The bars are not sorted in any specific order like descending or alphabetical, and no visual emphasis such as shading or annotation is applied to any of the bars."
018_2505.00022v2_Aleph-Alpha-GermanWeb Improving German-language LLM pre-training with   model-based data curation an.pdf,018_2505.00022v2_Figure4.png,"Accuracies of 8B HAT models trained on different datasets. On average, and for all but one individual benchmark comparison,  outperforms FineWeb2. (Left) The HAT model was trained for 25,000 training steps on an English-language web-derived dataset, equating to $\sim$ 75 billion English words. Afterwards the model was further trained for 20,000 steps ($\sim$ 60 billion words) with German language data, either random FineWeb2 data augmented with high quality datasets like Wikipedia (FineWeb2:HQ Curated) or our generated synthetic data (Synthetic). Both datasets amount to 60 billion German words each. (Middle) We trained for 21,000 steps ($\sim$ 63 billion words) on either random FineWeb2 data or on our synthetic German data. (Right) The FineWeb2 training run was continued to 50,0000 steps and is compared to a training of 50,000 steps on data from our Filtered CC pipeline. Both runs each equate to $\sim$ 150 billion words.",Bar Chart,"The bar chart illustrates the accuracy of two data sources, Filtered CC and FineWeb2, across four categories labeled MMMLU, ARC, TruthfulQA, and HellaSwag. The horizontal axis categorizes these four distinct groups in the order mentioned, while the vertical axis is labeled ""Accuracy"" and appears on a linear scale ranging from 0.0 to 0.6, with tick marks at intervals of 0.1. Each category consists of two grouped bars: a green bar representing Filtered CC and a brown bar representing FineWeb2. Approximate accuracy values for Filtered CC are as follows: MMMLU at 0.25, ARC at 0.35, TruthfulQA at 0.3, and HellaSwag at 0.55. For FineWeb2, values are approximately MMMLU at 0.2, ARC at 0.3, TruthfulQA at 0.2, and HellaSwag at 0.45. The chart legend in the top left corner clarifies the color representation for each data source. Bars are presented in the same order for each category without any specific sorting by value or additional visual emphasis such as shading or bolding."
019_2503.20914v1_D4R -- Exploring and Querying Relational Graphs Using Natural Language   and Large Language Models -.pdf,019_2503.20914v1_Figure1.png,: Node types distribution,Bar Chart,"The bar chart illustrates the count of various categorized elements. The categories are represented on the vertical axis with labels: ""Person,"" ""Religious,"" ""Concept,"" ""Place,"" ""Judicial,"" ""Unknown,"" and ""Org,"" ordered from top to bottom. The horizontal axis represents the count labeled as ""Count"" and uses a linear scale ranging from 0 to 350, with tick intervals of 50 units. Bars are colored in blue, with the approximate values indicated by labels on or near each bar. The bar labeled ""Person"" is the tallest at 308, followed by ""Religious"" at 172 and ""Concept"" at 126. The ""Place"" bar measures approximately 64, ""Judicial"" at 50, ""Unknown"" at 33, and ""Org"" as the shortest at 26. The bars are sorted in descending order based on their count values, and no bars are visually emphasized beyond the use of color and labels."
019_2503.20914v1_D4R -- Exploring and Querying Relational Graphs Using Natural Language   and Large Language Models -.pdf,019_2503.20914v1_Figure2.png,: Left: Distribution of node types in the historical dataset by category. Right: Distribution of relationship types in the historical dataset.,Bar Chart,"The bar chart illustrates the frequency of various activities or themes labeled on the vertical axis, including ""Communication,"" ""Assertions and Claims,"" and others, while the horizontal axis represents the frequency of occurrence, labeled as ""Frequency."" The frequency axis uses a linear scale ranging from 0 to approximately 550, with tick intervals of 100 units. Each bar is labeled and displayed in dark blue, with the respective frequency indicated within or adjacent to the bar. The longest bar represents ""Communication"" with a frequency of 537, while the shortest is ""Accusations and Charges"" with a frequency of 111. All bars are uniformly colored and show a descending order based on their frequency values. No specific bars are visually emphasized beyond uniform color coding and labeling."
020_2504.21024v1_WebEvolver Enhancing Web Agent Self-Improvement with Coevolving World   Model.pdf,020_2504.21024v1_Figure3.png,: WebVoyager,Line Plot,"The plot represents the changes across different models over several iterations labeled as ""Self-improve Iterations."" The x-axis is labeled ""Self-improve Iterations,"" with a linear scale ranging from 0 to 3, marked at integer intervals. The y-axis does not have a label, but it uses a linear scale with a range from 30 to 55, marked at intervals of 5 units. The plot contains four lines. The first line, labeled ""OpenWebVoyager,"" is depicted in blue with circular markers and a solid line style, starting at a value around 32 at iteration 0 and ending just above 40 at iteration 3, showing a steady upward trend. The second line, labeled ""WebEvolver,"" is shown in blue with square markers and a solid line style, beginning slightly below 35 at iteration 0 and reaching around 42 at iteration 3, displaying a gradual increase. The third line, labeled ""OpenWebVoyager+WMLH,"" is illustrated in red with triangular markers and a dashed line style, commencing at approximately 42 at iteration 0 and remaining constant at that value through iteration 3. The fourth line, labeled ""WebEvolver+WMLH,"" is orange with diamond markers and a dashed line, starting around 37 at iteration 0 and climbing to approximately 50 at iteration 3, with a notable peak at iteration 2."
020_2504.21024v1_WebEvolver Enhancing Web Agent Self-Improvement with Coevolving World   Model.pdf,020_2504.21024v1_Figure4.png,: Visual illustration of overall success rate evolving on WebVoyager and Mind2Web-Live.,Line Plot,"The line plot illustrates the performance of different models over a series of self-improve iterations. The x-axis is labeled ""Self-improve Iterations,"" with a linear scale ranging from 0 to 3, with tick labels at intervals of 1. The y-axis does not have a label in the image provided, but it features a linear scale ranging from 15.0 to 27.5, with tick labels at intervals of 2.5. The first line, representing ""OpenWebVoyager,"" is colored blue and marked with circular markers, following a solid line style. It starts at approximately 20.0 at iteration 0, decreases to around 17.0 at iteration 1, and then increases, ending near 20.0 at iteration 3. The second line, representing ""WebEvolver,"" is colored cyan with square markers and a solid line style, starting at approximately 17.5, dipping to about 16.0 at iteration 1, and rising to end at around 19.0. The ""OpenWebVoyager+WMLH"" line is red, incorporating triangular markers and a dashed line style, beginning at around 20.5, peaking at approximately 22.5 at iteration 1, and maintaining a roughly steady trend thereafter. The ""WebEvolver+WMLH"" line is shown in orange with diamond markers and a solid line style, starting near 27.0, peaking at about 28.0 at iteration 1, then decreasing to finish at approximately 26.0 at iteration 3. The plot includes a legend that clearly identifies each line according to its respective model."
021_2505.19294v1_Towards Reliable Large Audio Language Model.pdf,021_2505.19294v1_Figure4.png,"Rejection Rate(%), Reliability(%), and Reliability Gain Index (RGI) performance for different LoRA alpha weights trained on speech modality.",Bar Chart,"The bar chart illustrates the rejection rates associated with two categories, ""Sound"" and ""Music,"" across different values of ""LoRA alpha."" The horizontal axis displays the categories labeled as ""LoRA alpha"" with the values 8, 16, and 32, ordered numerically. The vertical axis represents the ""Rejection Rate (%)"" using a linear scale, ranging from 0 to 100 with tick marks at intervals of 20. The bars for each category are color-coded, with ""Sound"" represented in blue and ""Music"" in orange. At LoRA alpha value 8, the ""Sound"" category has a short blue bar with an approximate rejection rate of 5%, while the ""Music"" category has an even shorter orange bar near 0%. At LoRA alpha value 16, the ""Sound"" and ""Music"" categories have bars of similar height, with approximate rejection rates of 10%. At LoRA alpha value 32, both categories have the tallest bars, with ""Sound"" reaching approximately 92% and ""Music"" slightly shorter at around 90%. The bars are grouped by the LoRA alpha values, with color differentiating the categories, and there is no visual emphasis or specific sorting beyond the numerical order of LoRA alpha values."
021_2505.19294v1_Towards Reliable Large Audio Language Model.pdf,021_2505.19294v1_Figure5.png,"Rejection Rate(%), Reliability(%), and Reliability Gain Index (RGI) performance for different LoRA alpha weights trained on speech modality.",Bar Chart,"The bar chart illustrates the reliability percentage of two categories, labeled as ""Sound"" and ""Music,"" across different LoRA alpha values. The horizontal axis, which contains the categories, is labeled ""LoRA alpha"" and includes discrete values: 8, 16, and 32. The vertical axis represents ""Reliability (%)"" with a linear scale ranging from 0 to 80, marked at intervals of 10. The bars are grouped by LoRA alpha values, with colors indicating the categories: blue for ""Sound"" and orange for ""Music."" For the LoRA alpha value of 8, the ""Sound"" category has a height of approximately 70%, while ""Music"" is around 60%. At the alpha value of 16, both categories show the same approximate values as at 8, with ""Sound"" slightly taller. At an alpha of 32, the ""Sound"" bar is shorter than at previous values, at about 15%, and the ""Music"" bar is around 10%. The chart arranges the bars in sets of two for each alpha value, with ""Sound"" consistently being slightly taller than ""Music"" within each group. There is no specific emphasis on any of the bars, and they are sorted by increasing LoRA alpha values."
